Name, Description
Ambassador,
Bernardo, sentinel
Claudius, King of Denmark
Cornelius, courtier
"Father's Ghost", "Ghost of Hamlet's Father"
First Clown,
First Player,
Fortinbras, Prince of Norway
Francisco, a soldier
Gentleman, courtier
Gentlemen,
Gertrude, Queen of Denmark and mother to Hamlet
Guildenstern, courtier
Hamlet, son of the former king and nephew to the present king
Horatio, friend to Hamlet
Laertes, son to Polonius
Lord,
Lucianus,
Marcellus, Officer
Messenger,
Norwegian Captain,
Ophelia, daughter to Polonius
Osric, courtier
Player King,
Player Queen,
Polonius, Lord Chamberlain
Priest,
Reynaldo, servant to Polonius
Rosencrantz, courtier
Sailor,
Second Clown,
Servant,
Voltemand, courtier
